Participante,Data de nascimento,Ocupação,Origem,Resultado,Ref.
Maximiliano de Oliveira Porto,12/12/1978,Artista plástico,"Maricá, Rio de Janeiro",Vencedorem 7 de abril de 2009,[8]
Priscila Tavares Ferreira Pires dos Santos,31/07/1982,Modelo e Jornalista,"Campo Grande, Mato Grosso do Sul",2º lugarem 7 de abril de 2009,[9]
Francine Piaia Lemos,28/06/1983,Professora,"Rio Grande, Rio Grande do Sul",3º lugarem 7 de abril de 2009,[10]
Ana Carolina Martins Madeira,10/02/1984,Bacharel em Direito,"Florianópolis, Santa Catarina",14ª eliminadaem 5 de abril de 2009,[11]
Flávio Steffli Júnior,13/04/1983,Produtor de eventos,"Caxias do Sul, Rio Grande do Sul",13º eliminadoem 31 de março de 2009,[12]
Josiane Belizário de Oliveira,08/07/1978[nota 1],Cantora,"Juiz de Fora, Minas Gerais",12ª eliminadaem 29 de março de 2009,[14]
Milena de Brito Fagundes,29/07/1976,Assessora de imprensa,"Manaus, Amazonas",11ª eliminadaem 24 de março de 2009,[15]
Naiá da Graça Barros Giannocaro,15/11/1947,Promotora de eventos,"São Paulo, São Paulo",10ª eliminadaem 17 de março de 2009,[16]
Maíra Cardi de Faria,05/09/1983,Modelo e Apresentadora,"São Caetano do Sul, São Paulo",9ª eliminadaem 10 de março de 2009,[17]
Ralf Krause Reis Machado,14/05/1976,Empresário,"São Paulo, São Paulo",8º eliminadoem 3 de março de 2009,[18]
Mirla Araújo Prado,01/12/1981,Advogada,"Belém, Pará",7ª eliminadaem 1 de março de 2009,[19]
André Luis Gusmão de Almeida,23/04/1974[nota 2],Cantor sertanejo,"São Bernardo do Campo, São Paulo",6º eliminadoem 24 de fevereiro de 2009,[21]
Emanuel Tiago Milchevski,07/07/1984,Estudante de Administração,"São Bento do Sul, Santa Catarina",5º eliminadoem 17 de fevereiro de 2009,[22]
Newton da Silva Siqueira,24/09/1979,Modelo e Empresário,"Porto Alegre, Rio Grande do Sul",4º eliminadoem 10 de fevereiro de 2009,[23]
Alexandre Gomes da Silva,13/10/1973,Administrador de empresas,"Olinda, Pernambuco",3º eliminadoem 3 de fevereiro de 2009,[24]
Leonardo Jancu,10/05/1983,Estudante de Administração,"São Paulo, São Paulo",Desistenteem 2 de fevereiro de 2009,[25]
Norberto Carias dos Santos,30/03/1945[nota 3],Radialista e Ator,"São Carlos, São Paulo",2º eliminadoem 27 de janeiro de 2009,[27]
Michelle Julianne Fernandes da Costa,20/07/1984,Estudante de Direito e Modelo,"Recife, Pernambuco",1ª eliminadaem 20 de janeiro de 2009,[28]
