,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Thelma Regina Maria dos Santos Assis,18/11/1984,Médica anestesiologista,"São Paulo, São Paulo",1,escorpiao,São Paulo,Sudeste,36,1,0
1,Rafaella Freitas Ferreira de Castro Matthaus (Rafa Kalimann),02/04/1993,Influenciadora digital,"Campina Verde, Minas Gerais",2,aries,Minas Gerais,Sudeste,27,1,0
2,Manoela Latini Gavassi Francisco (Manu),04/01/1993,Atriz e Cantora,"São Paulo, São Paulo",3,capricornio,São Paulo,Sudeste,27,1,0
3,Alexandre da Silva Santana (Babu),10/12/1979,Ator,"Rio de Janeiro, Rio de Janeiro",4,sagitario,Rio de Janeiro,Sudeste,41,0,0
4,Mariana Decânio Gonzalez (Mari),16/02/1994,Influenciadora digital,"Salvador, Bahia",5,aquario,Bahia,Nordeste,26,1,0
5,Ivy Moraes Barbosa,25/04/1992,Modelo,"Belo Horizonte, Minas Gerais",6,touro,Minas Gerais,Sudeste,28,1,0
6,Gizelly Bicalho Abreu,16/10/1991,Advogada criminalista,"Iúna, Espírito Santo",7,libra,Espírito Santo,Sudeste,29,1,0
7,Flayslane Raiane Pereira da Silva,19/10/1994,Cantora,"Nova Floresta, Paraíba",8,libra,Paraíba,Nordeste,26,1,0
8,Marcela Olmedo Mc Gowan,25/11/1988,Ginecologista e Obstetra,"Rancharia, São Paulo",9,sagitario,São Paulo,Sudeste,32,1,1
9,Gabriela Piedade Martins (Gabi),12/12/1996,Cantora,"Belo Horizonte, Minas Gerais",10,sagitario,Minas Gerais,Sudeste,24,1,0
10,Felipe Antoniazzi Prior,18/06/1992,Arquiteto,"São Paulo, São Paulo",11,gemeos,São Paulo,Sudeste,28,0,0
11,Daniel Xavier Lenhardt,29/04/1997,Ator e Modelo,"Selbach, Rio Grande do Sul",12,touro,Rio Grande do Sul,Sul,23,0,1
12,Jaime Young-Lae Cho (Pyong Lee),23/09/1992,Hipnólogo e YouTuber,"São Paulo, São Paulo",13,libra,São Paulo,Sudeste,28,0,0
13,Victor Hugo Silva Teixeira,14/02/1994,Cientista de saúde pública e Psicólogo,"Imperatriz, Maranhão",14,aquario,Maranhão,Nordeste,26,0,1
14,Guilherme Napolitano Camargo Mariotto Pieroni,08/03/1991,Modelo e Jornalista,"Presidente Prudente, São Paulo",15,peixes,São Paulo,Sudeste,29,0,0
15,Bianca Andrade da Silva (Boca Rosa),15/10/1994,Empresária e Influenciadora digital,"Rio de Janeiro, Rio de Janeiro",16,libra,Rio de Janeiro,Sudeste,26,1,1
16,Lucas Becker Gallina,10/04/1993,Fisioterapeuta,"Florianópolis, Santa Catarina",17,aries,Santa Catarina,Sul,27,0,0
17,Hadson da Silva Nery,04/08/1981,Ex-jogador de futebol,"Belém, Pará",18,leao,Pará,Norte,39,0,0
18,Petrix Stevan Aguiar Barbosa,05/03/1992,Ginasta,"São Paulo, São Paulo",19,peixes,São Paulo,Sudeste,28,0,0
19,Lucas Yan Cabral Azeredo Chianca (Chumbo),25/08/1995,Surfista profissional,"Saquarema, Rio de Janeiro",20,virgem,Rio de Janeiro,Sudeste,25,0,0
