,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,André Augusto Ferreira Fontes (Dhomini),27/09/1972,Assessor parlamentar,"Goiânia, Goiás",1,libra,Goiás,Centro-Oeste,31,0,0
1,Elane Silva Chaves,24/08/1984,Professora,"Itanhém, Bahia",2,virgem,Bahia,Nordeste,19,1,0
2,Viviane da Silva Oliveira,11/02/1975,Advogada,"Votorantim, São Paulo",3,aquario,São Paulo,Sudeste,28,1,0
3,Jean Massumi Hara,16/09/1974,Massoterapeuta,"São Paulo, São Paulo",4,virgem,São Paulo,Sudeste,29,0,0
4,Harry Grossman,15/01/1968,Guia turístico,"Teresópolis, Rio de Janeiro",5,capricornio,Rio de Janeiro,Sudeste,35,0,0
5,Sabrina Sato Rahal,04/02/1981,Estudante de Jornalismo,"Penápolis, São Paulo",6,aquario,São Paulo,Sudeste,22,1,0
6,Emilio Fernando Amaral Rodrigues,24/06/1972,Mergulhador,"Londrina, Paraná",7,cancer,Paraná,Sul,31,0,0
7,Alan Marcelo Cavalcante da Conceição,21/10/1976,Basquetebolista,"Rio de Janeiro, Rio de Janeiro",8,libra,Rio de Janeiro,Sudeste,27,0,0
8,Juliana Alves de Oliveira,03/05/1982,Estudante de Serviço Social,"Rio de Janeiro, Rio de Janeiro",9,touro,Rio de Janeiro,Sudeste,21,1,0
9,Andréa Carla Tapia Guerrero,04/09/1964,Profissional de marketing,"São Paulo, São Paulo",10,virgem,São Paulo,Sudeste,39,1,0
10,Marcelo Augusto Kretzer,05/04/1980,DJ,"Blumenau, Santa Catarina",11,aries,Santa Catarina,Sul,23,0,0
11,Joseane Procasco Guntzell de Oliveira,10/04/1981,Modelo,"Canoas, Rio Grande do Sul",12,aries,Rio Grande do Sul,Sul,22,1,0
12,Dilson Walkarez Rodovalho Filho,18/05/1975,Motoqueiro,"Campo Grande, Mato Grosso do Sul",13,touro,Mato Grosso do Sul,Centro-Oeste,28,0,0
13,Paulo Roberto Nogueira Carotini,14/10/1969,Fotógrafo,"São Paulo, São Paulo",14,libra,São Paulo,Sudeste,34,0,0
14,Samantha Barradas Pereira,26/05/1975,Personal trainer,"Rio de Janeiro, Rio de Janeiro",15,gemeos,Rio de Janeiro,Sudeste,28,1,0
