,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Cézar de Lima Martins,07/11/1984,Estudante de Direito,"Guarapuava, Paraná",1,escorpiao,Paraná,Sul,31,0,0
1,Amanda Djehdian,14/05/1986,Empresária,"São Paulo, São Paulo",2,touro,São Paulo,Sudeste,29,1,0
2,Fernando Carlos de Medeiros,17/04/1982,Produtor cultural,"Rio de Janeiro, Rio de Janeiro",3,aries,Rio de Janeiro,Sudeste,33,0,0
3,Adrilles Reis Jorge,16/11/1974,Escritor,"Belo Horizonte, Minas Gerais",4,escorpiao,Minas Gerais,Sudeste,41,0,0
4,Mariza Maria Moreira,15/01/1964,Professora de Artes,"Recife, Pernambuco",5,capricornio,Pernambuco,Nordeste,51,1,0
5,Rafael Selbach Licks,26/04/1993,Estudante de Administração,"Canela, Rio Grande do Sul",6,touro,Rio Grande do Sul,Sul,22,0,0
6,Luan Patricio dos Santos Rosa,30/01/1991,Gerente de salão de beleza,"Mesquita, Rio de Janeiro",7,aquario,Rio de Janeiro,Sudeste,24,0,0
7,Tamires Peloso Peixoto,31/07/1990,Dentista,"São Paulo, São Paulo",8,leao,São Paulo,Sudeste,25,1,0
8,Talita de Araújo Carvalho,25/03/1992,Aeromoça,"Goiânia, Goiás",9,aries,Goiás,Centro-Oeste,23,1,0
9,Angélica Cristina Ramos de Castro,18/08/1981,Auxiliar de enfermagem,"Embu das Artes, São Paulo",10,leao,São Paulo,Sudeste,34,1,0
10,Aline Gotschalg,09/10/1990,Estudante de Moda,"Belo Horizonte, Minas Gerais",11,libra,Minas Gerais,Sudeste,25,1,0
11,Marco Antônio Marcon,08/01/1980,Teólogo,"Curitiba, Paraná",12,capricornio,Paraná,Sul,35,0,0
12,Douglas Ferreira,17/11/1985,Motoboy,"São Paulo, São Paulo",13,escorpiao,São Paulo,Sudeste,30,0,0
13,Francieli Berwanger Medeiros,12/07/1978,Conciliadora criminal,"Bento Gonçalves, Rio Grande do Sul",14,cancer,Rio Grande do Sul,Sul,37,1,0
