,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Fernanda Keulla Vilaça,22/05/1986,Advogada,"Belo Horizonte, Minas Gerais",1,gemeos,Minas Gerais,Sudeste,27,1,0
1,Nasser Bernardes Rodrigues,25/11/1988,Vendedor,"Porto Alegre, Rio Grande do Sul",2,sagitario,Rio Grande do Sul,Sul,25,0,0
2,Andressa Ganacin,09/08/1989,Esteticista,"Cianorte, Paraná",3,leao,Paraná,Sul,24,1,0
3,Natália Bohm Casassola,08/07/1985,Ex-BBB 8,"Passo Fundo, Rio Grande do Sul",4,cancer,Rio Grande do Sul,Sul,28,1,0
4,André Borges Martinelli,05/04/1988,Empresário,"Vitória, Espírito Santo",5,aries,Espírito Santo,Sudeste,25,0,0
5,Fani Miranda Pacheco,24/05/1982,Ex-BBB 7,"Nova Iguaçu, Rio de Janeiro",6,gemeos,Rio de Janeiro,Sudeste,31,1,0
6,Kamilla Ghabrise Rodrigues Salgado,31/03/1987,Modelo,"Belém, Pará",7,aries,Pará,Norte,26,1,0
7,Anamara Cristiane de Brito Barreira,13/07/1984,Ex-BBB 10,"Juazeiro, Bahia",8,cancer,Bahia,Nordeste,29,1,0
8,Marcello Soares,08/10/1981,Personal trainer,"Rio de Janeiro, Rio de Janeiro",9,libra,Rio de Janeiro,Sudeste,32,0,0
9,Eliéser José Ambrósio,12/05/1984,Ex-BBB 10,"Maringá, Paraná",10,touro,Paraná,Sul,29,0,0
10,Ivan Marcondes Antônio,26/01/1986,Professor de Inglês,"Rio Claro, São Paulo",11,aquario,São Paulo,Sudeste,27,0,0
11,Marien dos Reis y Carretero,06/12/1987,Bailarina de Flamenco,"Belo Horizonte, Minas Gerais",12,sagitario,Minas Gerais,Sudeste,26,1,0
12,Yuri Fernandes Magalhães de Almeida,31/10/1985,Ex-BBB 12,"Goiânia, Goiás",13,escorpiao,Goiás,Centro-Oeste,28,0,0
13,Aslan Cabral,12/01/1980,Artista plástico,"Recife, Pernambuco",14,capricornio,Pernambuco,Nordeste,33,0,1
14,André Augusto Ferreira Fontes (Dhomini),27/09/1972,Ex-BBB 3,"Goiânia, Goiás",15,libra,Goiás,Centro-Oeste,41,0,0
15,Aline Santos Mattos,08/12/1981,Recepcionista,"Rio de Janeiro, Rio de Janeiro",16,sagitario,Rio de Janeiro,Sudeste,32,1,0
16,Kleber de Paula Pedra (Bambam),14/02/1978,Ex-BBB 1,"Campinas, São Paulo",17,aquario,São Paulo,Sudeste,35,0,0
