,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Maria Helena Jurado Melillo,22/11/1983,Atriz/Modelo,"São Bernardo do Campo, São Paulo",1,sagitario,São Paulo,Sudeste,28,1,0
1,Wesley Schunk Cunha,01/02/1986,Médico,"Vila Velha, Espírito Santo",2,aquario,Espírito Santo,Sudeste,25,0,0
2,Daniel Barbosa Rolim,09/09/1970,Administrador,"Recife, Pernambuco",3,virgem,Pernambuco,Nordeste,41,0,1
3,Diana Reis Balsini,20/09/1981,Produtora,"Rio de Janeiro, Rio de Janeiro",4,virgem,Rio de Janeiro,Sudeste,30,1,1
4,Rodrigo Gomes Simoni (Rodrigão),26/07/1988,Modelo,"Maringá, Paraná",5,leao,Paraná,Sul,23,0,0
5,Paula Cristina de Souza Leite,14/01/1987,Estudante de Farmácia,"Boa Vista, Roraima",6,capricornio,Roraima,Norte,24,1,0
6,Jaqueline Faria Louriçal,21/10/1983,Dançarina/Modelo,"Rio de Janeiro, Rio de Janeiro",7,libra,Rio de Janeiro,Sudeste,28,1,0
7,Luiz Maurício Bento Joaquim,14/04/1983,Músico,"Rio de Janeiro, Rio de Janeiro",8,aries,Rio de Janeiro,Sudeste,28,0,0
8,Talula Pascoli,28/07/1981,Modelo,"São Paulo, São Paulo",9,leao,São Paulo,Sudeste,30,1,0
9,Janaína dos Santos,03/03/1985,Bailarina,"São Paulo, São Paulo",10,peixes,São Paulo,Sudeste,26,1,0
10,Diogo Preto,21/10/1986,Coreógrafo,"Salvador, Bahia",11,libra,Bahia,Nordeste,25,0,0
11,Adriana Ribeiro Sant'anna,06/02/1991,Estudante de Odontologia/Modelo,"Campos dos Goytacazes, Rio de Janeiro",12,aquario,Rio de Janeiro,Sudeste,20,1,0
12,Natália Cristina Pinto de Castro,21/09/1983,Analista Criminal,"Coronel Fabriciano, Minas Gerais",13,virgem,Minas Gerais,Sudeste,28,1,0
13,Lucival Nascimento França,06/02/1981,Jornalista,"Salvador, Bahia",14,aquario,Bahia,Nordeste,30,0,1
14,Cristiano Zanelato Amado Naya,24/03/1977,Engenheiro mecatrônico,"São Paulo, São Paulo",15,aries,São Paulo,Sudeste,34,0,0
15,Igor Gramani Serra,30/11/1985,Barman/Rapper,"São Paulo, São Paulo",16,sagitario,São Paulo,Sudeste,26,0,0
16,Michelly Cristina de Freitas Pereira,14/08/1983,Promotora de eventos,"São Paulo, São Paulo",17,leao,São Paulo,Sudeste,28,1,0
17,Rodrigo da Silva Carvalho,29/01/1984,Administrador,"Jaboatão dos Guararapes, Pernambuco",18,aquario,Pernambuco,Nordeste,27,0,0
18,Luiz Maurício Bento Joaquim,14/04/1983,Músico,"Rio de Janeiro, Rio de Janeiro",19,aries,Rio de Janeiro,Sudeste,28,0,0
19,Ariadna Thalia da Silva Arantes,03/06/1984,Cabeleireira,"Rio de Janeiro, Rio de Janeiro",20,gemeos,Rio de Janeiro,Sudeste,27,1,1
