,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Rafael Ribeiro Medeiros de Carvalho (Rafinha),23/09/1981,Músico,"Campinas, São Paulo",1,libra,São Paulo,Sudeste,27,0,0
1,Gyselle Soares Estevão,27/10/1983,Modelo,"Teresina, Piauí",2,escorpiao,Piauí,Nordeste,25,1,0
2,Natália Bohm Casassola,08/07/1985,Estudante de Artes Visuais,"Passo Fundo, Rio Grande do Sul",3,cancer,Rio Grande do Sul,Sul,23,1,0
3,Marcos Paulo Parmagnani da Silva,15/05/1981,Eletrotécnico,"Niterói, Rio de Janeiro",4,touro,Rio de Janeiro,Sudeste,27,0,0
4,Thatiana André Bione,17/06/1986,Professora de inglês,"Brasília, Distrito Federal",5,gemeos,Distrito Federal,Centro-Oeste,22,1,0
5,Marcelo de Oliveira Arantes,22/03/1976,Médico psiquiatra,"Uberaba, Minas Gerais",6,aries,Minas Gerais,Sudeste,32,0,1
6,Juliana de Góes Carlos,25/06/1985,Jornalista/modelo,"Santos, São Paulo",7,cancer,São Paulo,Sudeste,23,1,0
7,Luiz Felipe Basílio Thimóteo de Oliveira,18/12/1986,Estudante de Comércio Exterior,"São Paulo, São Paulo",8,sagitario,São Paulo,Sudeste,22,0,0
8,Luiz Fernando de Brito Mesquita,22/09/1982,Gerente de contas,"Rio de Janeiro, Rio de Janeiro",9,virgem,Rio de Janeiro,Sudeste,26,0,0
9,Bianca Maria Correia Jahara,12/10/1979,Produtora de moda,"Rio de Janeiro, Rio de Janeiro",10,libra,Rio de Janeiro,Sudeste,29,1,1
10,Thalita Lippi Lopes,30/01/1978,Atriz,"Rio de Janeiro, Rio de Janeiro",11,aquario,Rio de Janeiro,Sudeste,30,1,0
11,Alexandre Torralbo Scaquette,10/05/1983,Modelo,"Limeira, São Paulo",12,touro,São Paulo,Sudeste,25,0,0
12,Rafael Rocha Memória,20/01/1984,Estudante de Medicina,"Fortaleza, Ceará",13,capricornio,Ceará,Nordeste,24,0,0
13,Jaqueline Cury Cardoso,06/04/1984,Modelo,"São Paulo, São Paulo",14,aries,São Paulo,Sudeste,24,1,0
