,Participante,Data de nascimento,Ocupação,Origem,Posição,Signo,Estado,Região,Idade,Sexo,Sexualidade
0,Rodrigo Fraga Leonel,04/04/1970,Domador de cavalos,"Ribeirão Preto, São Paulo",1,aries,São Paulo,Sudeste,32,0,0
1,Manuela Santos Saadeh,31/05/1979,Estudante de Marketing,"Rio de Janeiro, Rio de Janeiro",2,gemeos,Rio de Janeiro,Sudeste,23,1,0
2,Maria Aparecida Junqueira de Moraes (Cida),30/10/1963,Aeromoça,"Rio de Janeiro, Rio de Janeiro",3,escorpiao,Rio de Janeiro,Sudeste,39,1,0
3,Thyrso Mattos Martins,04/10/1975,Cozinheiro,"São Paulo, São Paulo",4,libra,São Paulo,Sudeste,27,0,0
4,Tarciana de Lima Mafra,08/11/1974,Vendedora,"Recife, Pernambuco",5,escorpiao,Pernambuco,Nordeste,28,1,0
5,Fabrício Luiz do Amaral,16/05/1977,Estudante,"Novo Hamburgo, Rio Grande do Sul",6,touro,Rio Grande do Sul,Sul,25,0,0
6,Thaís Ventura Pugliese,08/03/1983,Estudante,"Niterói, Rio de Janeiro",7,peixes,Rio de Janeiro,Sudeste,19,1,0
7,Moisés Joaquim da Silva,25/09/1975,Vendedor,"Porto de Galinhas, Pernambuco",8,libra,Pernambuco,Nordeste,27,0,0
8,Jeferson de Oliveira dos Santos,21/10/1974,Cantor,"Carapicuíba, São Paulo",9,libra,São Paulo,Sudeste,28,0,0
9,Fernando Fernandes de Pádua,28/03/1981,Boxeador/Modelo,"São Paulo, São Paulo",10,aries,São Paulo,Sudeste,21,0,0
10,Vanessa Cristina Soares Dias (Tina),11/06/1980,Futebolista/Estudante de Turismo,"São Paulo, São Paulo",11,gemeos,São Paulo,Sudeste,22,1,0
11,Rita Sinara Gonçalves da Silva Lopes,13/08/1972,Cartomante,"Esteio, Rio Grande do Sul",12,leao,Rio Grande do Sul,Sul,30,1,0
